Date,Open,High,Low,Close,Volume
2022-09-12,1.98,2.3,1.98,2.2,17085
2022-09-15,2.1,2.11,2.1,2.11,4034
2022-09-19,2.14,2.14,2.14,2.14,300
2022-09-21,2.1,2.1,2.0,2.0,6800
2022-09-22,2.1,2.1,2.1,2.1,10805
2022-09-23,2.14,2.14,2.1,2.1,3100
2022-09-26,2.17,2.17,2.1,2.1,5700
2022-09-27,2.0,2.0,2.0,2.0,100
2022-09-28,2.0,2.0,2.0,2.0,4780
2022-09-29,1.92,1.92,1.92,1.92,3700
2022-09-30,1.92,1.92,1.92,1.92,30
2022-10-04,1.92,1.92,1.92,1.92,370
2022-10-06,1.86,1.86,1.86,1.86,5
2022-10-07,1.9,1.92,1.86,1.92,7350
2022-10-12,1.92,1.92,1.92,1.92,200
2022-10-13,1.86,1.88,1.86,1.88,3196
2022-10-14,1.86,1.9,1.86,1.9,3950
2022-10-19,1.9,1.9,1.9,1.9,1200
2022-10-20,1.9,1.96,1.9,1.96,4047
2022-10-24,1.96,1.96,1.96,1.96,3800
2022-10-26,1.96,1.96,1.96,1.96,208
2022-10-27,1.9,1.9,1.9,1.9,7200
2022-10-28,1.96,1.96,1.96,1.96,20
2022-11-02,1.9,1.9,1.9,1.9,323
2022-11-03,1.96,1.96,1.9,1.96,1346
2022-11-04,1.96,1.96,1.96,1.96,1300
2022-11-07,1.96,2.0,1.96,2.0,3026
2022-11-09,1.92,1.92,1.92,1.92,327
2022-11-10,1.9,1.9,1.9,1.9,6300
2022-11-14,1.98,1.98,1.98,1.98,200
2022-11-15,1.98,1.98,1.91,1.91,1150
2022-11-16,1.91,1.91,1.91,1.91,1000
2022-11-21,1.98,1.98,1.98,1.98,250
2022-11-22,1.97,1.98,1.97,1.98,1000
2022-11-24,1.98,1.98,1.98,1.98,1310
2022-11-29,1.98,1.98,1.74,1.76,9695
2022-11-30,1.78,1.78,1.78,1.78,2100
2022-12-02,1.8,1.8,1.8,1.8,561
2022-12-05,1.705,1.8,1.705,1.8,3400
2022-12-06,1.78,1.78,1.78,1.78,500
2022-12-07,1.8,1.8,1.8,1.8,7097
2022-12-08,1.8,1.89,1.8,1.89,1054
2022-12-09,1.8,1.89,1.8,1.89,47
2022-12-13,1.8,1.8,1.8,1.8,8346
2022-12-14,1.81,1.81,1.81,1.81,452
2022-12-16,1.9,1.9,1.81,1.81,671
2022-12-21,1.81,1.81,1.81,1.81,82
2022-12-22,1.9,1.9,1.9,1.9,220
2022-12-27,1.81,1.81,1.8,1.8,6950
2022-12-28,1.8,1.8,1.78,1.8,8565
2023-01-03,1.8,1.8,1.8,1.8,900
2023-01-05,1.8,1.8,1.8,1.8,900
2023-01-09,1.8,1.8,1.8,1.8,4200
2023-01-10,1.85,1.85,1.85,1.85,1800
2023-01-16,1.82,1.82,1.81,1.81,2645
2023-01-17,1.88,1.88,1.88,1.88,100
2023-01-23,1.88,1.88,1.815,1.815,3000
2023-01-24,1.81,1.81,1.81,1.81,10
2023-01-25,1.875,1.875,1.875,1.875,575
2023-01-26,1.875,1.88,1.875,1.88,870
2023-01-27,1.88,1.88,1.88,1.88,455
2023-01-30,1.835,1.835,1.835,1.835,152
2023-02-01,1.835,1.835,1.83,1.83,2000
2023-02-03,1.83,1.83,1.78,1.78,500
2023-02-07,1.795,1.795,1.79,1.79,2150
2023-02-08,1.79,1.79,1.78,1.78,463
2023-02-09,1.865,1.87,1.865,1.87,900
2023-02-10,1.86,1.86,1.86,1.86,860
2023-02-14,1.84,1.86,1.84,1.86,1000
2023-02-15,1.88,1.88,1.88,1.88,1000
2023-02-16,1.82,1.88,1.82,1.88,1100
2023-02-20,1.88,2.2,1.88,2.0,68688
2023-02-21,2.0,2.1,2.0,2.1,3835
2023-02-22,2.09,2.09,2.01,2.08,3867
2023-02-27,2.01,2.01,2.0,2.01,4208
2023-02-28,2.01,2.01,2.01,2.01,2613
2023-03-02,2.01,2.01,2.01,2.01,2287
2023-03-06,2.01,2.01,2.0,2.0,11263
2023-03-10,2.0,2.0,2.0,2.0,11900
2023-03-13,2.0,2.0,2.0,2.0,8000
2023-03-16,2.0,2.0,2.0,2.0,40800
2023-03-17,2.0,2.0,1.92,1.92,2
2023-03-21,1.96,1.96,1.96,1.96,1076
2023-03-27,1.97,1.97,1.97,1.97,75
2023-03-28,1.96,1.96,1.96,1.96,425
2023-03-30,1.96,1.96,1.96,1.96,1452
2023-04-03,1.98,1.98,1.98,1.98,7000
2023-04-05,1.98,1.98,1.98,1.98,5500
2023-04-06,2.0,2.0,2.0,2.0,800
2023-04-11,2.0,2.0,2.0,2.0,604
2023-04-17,2.0,2.0,1.92,1.92,1300
2023-04-18,1.92,1.92,1.92,1.92,2300
2023-04-25,1.92,1.92,1.92,1.92,30
2023-05-04,1.92,1.92,1.92,1.92,470
2023-05-05,1.94,1.94,1.94,1.94,400
2023-05-08,1.94,2.0,1.94,2.0,670
2023-05-09,2.0,2.0,2.0,2.0,500
2023-05-10,1.94,1.94,1.94,1.94,962
2023-05-11,1.94,1.94,1.94,1.94,1
2023-05-12,1.94,1.94,1.94,1.94,100
2023-05-17,1.93,1.93,1.92,1.92,500
2023-05-18,2.0,2.0,1.92,1.92,925
2023-05-23,2.0,2.0,2.0,2.0,64
2023-05-24,1.92,1.92,1.92,1.92,4200
2023-05-26,1.84,1.92,1.84,1.92,494
2023-05-29,1.92,1.92,1.92,1.92,1000
2023-06-01,1.84,1.91,1.84,1.91,955
2023-06-02,1.84,1.84,1.84,1.84,6308
2023-06-06,1.83,1.83,1.78,1.78,2000
2023-06-07,1.76,1.76,1.73,1.73,5300
2023-06-09,1.69,1.72,1.69,1.72,1050
2023-06-12,1.69,1.69,1.68,1.68,3600
2023-06-19,1.7,1.7,1.7,1.7,400
2023-06-20,1.7,1.7,1.7,1.7,300
2023-06-21,1.7,1.7,1.7,1.7,500
2023-06-26,1.7,1.7,1.7,1.7,499
2023-07-05,1.69,1.69,1.69,1.69,800
2023-07-11,1.7,1.7,1.7,1.7,1000
2023-07-13,1.7,2.04,1.7,2.04,31396
2023-07-14,2.12,2.48,2.12,2.36,102591
2023-07-17,2.22,2.28,2.0,2.0,32816
2023-07-18,2.0,2.0,1.93,1.93,3574
2023-07-19,2.0,2.0,1.94,1.94,1490
2023-07-21,1.99,2.24,1.92,2.08,15868
2023-07-24,2.1,2.1,2.0,2.08,3528
2023-07-25,2.0,2.0,2.0,2.0,3524
2023-07-26,2.0,2.0,1.92,2.0,1540
2023-07-27,2.0,2.0,1.86,1.92,5690
2023-07-28,1.92,1.92,1.83,1.9,1010
2023-07-31,1.9,1.91,1.83,1.91,952
2023-08-01,1.91,1.92,1.91,1.92,2950
2023-08-14,1.82,1.82,1.82,1.82,1050
2023-08-17,1.84,1.84,1.84,1.84,376
2023-08-18,1.82,1.82,1.82,1.82,100
2023-08-21,1.83,1.83,1.83,1.83,1800
2023-08-24,1.9,1.92,1.9,1.92,3799
2023-08-30,1.92,2.0,1.84,1.9,21713
2023-08-31,1.98,2.34,1.98,2.1,74911
2023-09-01,2.2,2.36,2.12,2.18,24732
2023-09-04,2.18,2.26,2.08,2.16,14414
2023-09-05,2.1,2.1,2.1,2.1,11011
2023-09-06,2.1,2.1,2.02,2.1,29131
2023-09-07,2.1,2.1,2.1,2.1,200
2023-09-08,2.02,2.1,2.02,2.1,550
2023-09-11,2.02,2.02,2.0,2.0,7493
2023-09-12,2.02,2.02,2.0,2.0,5560
2023-09-13,1.94,2.0,1.94,2.0,471
2023-09-19,1.94,2.0,1.94,2.0,10041
2023-09-20,2.02,2.02,2.02,2.02,750
2023-09-22,2.1,2.1,2.1,2.1,500
2023-09-25,2.1,2.1,2.1,2.1,769
2023-09-27,2.02,2.02,2.0,2.0,7620
2023-09-29,2.0,2.0,2.0,2.0,2166
2023-10-04,2.0,2.02,2.0,2.02,4500
2023-10-05,2.04,2.06,2.04,2.06,155
2023-10-06,2.0,2.0,2.0,2.0,1800
2023-10-09,2.0,2.02,2.0,2.0,2560
2023-10-10,2.0,2.0,1.92,1.93,2550
2023-10-11,1.92,1.92,1.92,1.92,3738
2023-10-12,1.9,1.9,1.9,1.9,4100
2023-10-13,1.92,1.92,1.92,1.92,4470
2023-10-16,1.92,1.92,1.9,1.9,5576
2023-10-17,1.88,1.88,1.88,1.88,7300
2023-10-19,1.9,1.92,1.9,1.92,15587
2023-10-20,1.9,1.9,1.9,1.9,4500
2023-10-23,1.88,1.88,1.88,1.88,1087
2023-10-25,1.88,1.88,1.88,1.88,536
2023-11-02,1.9,1.9,1.88,1.88,5001
2023-11-03,1.9,1.9,1.88,1.88,1001
2023-11-06,1.88,1.88,1.88,1.88,665
2023-11-10,1.85,1.88,1.85,1.88,1038
2023-11-15,1.88,1.88,1.88,1.88,120
2023-11-22,1.92,2.04,1.92,1.92,7779
2023-11-23,2.0,2.04,2.0,2.0,11968
2023-11-24,2.0,2.0,2.0,2.0,2400
2023-11-27,2.0,2.0,2.0,2.0,150
2023-12-05,1.92,1.92,1.92,1.92,4000
2023-12-08,1.82,1.82,1.82,1.82,23090
2023-12-11,1.82,1.83,1.8,1.8,9515
2023-12-12,1.8,1.8,1.8,1.8,700
2023-12-13,1.8,1.82,1.8,1.82,1400
2023-12-14,1.81,1.82,1.81,1.82,7200
2023-12-15,1.8,1.85,1.8,1.85,2033
2023-12-18,1.9,1.9,1.9,1.9,1
2023-12-19,1.81,1.9,1.81,1.9,1201
2023-12-20,1.81,1.81,1.81,1.81,751
2023-12-21,1.81,1.81,1.81,1.81,1500
2023-12-22,1.8,1.8,1.8,1.8,2200
2023-12-27,1.8,1.8,1.8,1.8,1000
2023-12-28,1.9,1.9,1.9,1.9,1884
2024-01-02,1.9,1.9,1.9,1.9,1200
2024-01-03,1.91,2.0,1.91,2.0,1986
2024-01-08,1.99,1.99,1.91,1.91,1892
2024-01-10,1.91,1.91,1.91,1.91,880
2024-01-11,1.9,1.9,1.8,1.8,5953
2024-01-15,1.9,1.9,1.9,1.9,3511
2024-01-16,1.9,1.9,1.9,1.9,304
2024-01-17,1.83,1.83,1.83,1.83,2500
2024-01-18,1.9,1.9,1.9,1.9,100
2024-01-19,1.83,1.83,1.78,1.78,6589
2024-01-22,1.8,1.8,1.74,1.74,650
2024-01-24,1.8,1.8,1.8,1.8,110
2024-01-25,1.74,1.74,1.74,1.74,299
2024-01-26,1.8,1.8,1.8,1.8,763
2024-01-29,1.8,1.8,1.8,1.8,5599
2024-01-30,1.8,1.8,1.8,1.8,750
2024-02-01,1.9,1.94,1.9,1.9,9410
2024-02-02,1.9,1.96,1.9,1.9,17701
2024-02-05,1.9,1.9,1.9,1.9,11500
2024-02-06,1.82,1.82,1.8,1.82,9325
2024-02-07,1.9,1.9,1.9,1.9,100
2024-02-09,1.8,1.9,1.8,1.85,1400
2024-02-13,1.84,1.9,1.84,1.9,1000
2024-02-16,1.84,1.9,1.84,1.9,1400
2024-02-20,1.85,1.85,1.85,1.85,700
2024-02-21,1.84,1.84,1.7,1.7,23687
2024-02-22,1.8,1.8,1.8,1.8,888
2024-02-23,1.8,1.8,1.8,1.8,1000
2024-02-27,1.72,1.72,1.72,1.72,10
2024-02-28,1.7,1.7,1.7,1.7,450
2024-03-01,1.8,1.8,1.8,1.8,45
2024-03-04,1.8,1.8,1.8,1.8,203
2024-03-07,1.71,1.71,1.65,1.65,10344
2024-03-08,1.65,1.68,1.6,1.61,9722
2024-03-11,1.61,1.62,1.61,1.62,1184
2024-03-13,1.62,1.62,1.62,1.62,1177
2024-03-18,1.62,1.65,1.62,1.65,1050
2024-03-19,1.7,1.7,1.7,1.7,530
2024-03-20,1.7,1.7,1.62,1.62,2404
2024-03-21,1.7,1.79,1.6,1.6,16146
2024-03-22,1.6,1.6,1.6,1.6,2250
2024-04-02,1.6,1.64,1.6,1.64,3310
2024-04-08,1.61,1.61,1.61,1.61,1000
2024-04-10,1.7,1.7,1.7,1.7,250
2024-04-15,1.6,1.7,1.56,1.56,3291
2024-04-16,1.6,1.6,1.6,1.6,550
2024-04-18,1.6,1.6,1.6,1.6,5150
2024-04-25,1.7,1.7,1.7,1.7,5000
2024-04-26,1.7,1.7,1.7,1.7,1100
2024-04-29,1.7,1.7,1.7,1.7,5500
2024-05-02,1.7,1.7,1.7,1.7,3047
2024-05-07,1.7,1.8,1.7,1.8,8170
2024-05-13,1.8,1.8,1.65,1.7,7883
2024-05-14,1.7,1.7,1.65,1.65,1525
2024-05-15,1.65,1.7,1.65,1.7,2418
2024-05-21,1.69,1.7,1.69,1.7,5700
2024-05-24,1.7,1.7,1.7,1.7,2459
2024-05-27,1.7,1.7,1.65,1.65,701
2024-05-28,1.7,1.7,1.7,1.7,14675
2024-05-29,1.66,1.66,1.66,1.66,800
2024-06-03,1.67,1.7,1.66,1.7,3513
2024-06-04,1.7,1.7,1.7,1.7,8470
2024-06-05,1.79,1.8,1.79,1.8,3583
2024-06-06,1.71,1.71,1.71,1.71,1000
2024-06-10,1.76,1.76,1.76,1.76,1898
2024-06-11,1.75,1.75,1.75,1.75,1523
2024-06-12,1.73,1.73,1.73,1.73,602
2024-06-13,1.73,1.73,1.73,1.73,922
2024-06-17,1.71,1.71,1.69,1.69,8340
2024-06-19,1.69,1.69,1.69,1.69,470
2024-06-20,1.7,1.7,1.7,1.7,3007
2024-06-24,1.68,1.68,1.68,1.68,1000
2024-06-25,1.68,1.68,1.68,1.68,2805
2024-06-28,1.7,1.7,1.7,1.7,16
2024-07-01,1.7,1.7,1.7,1.7,3000
2024-07-03,1.7,1.7,1.7,1.7,150
2024-07-05,1.68,1.68,1.68,1.68,53
2024-07-10,1.68,1.68,1.68,1.68,5000
2024-07-15,1.68,1.68,1.68,1.68,3142
2024-07-16,1.6,1.6,1.6,1.6,6000
2024-07-17,1.58,1.58,1.58,1.58,480
2024-07-23,1.56,1.56,1.56,1.56,37
2024-08-05,1.56,1.56,1.5,1.5,14657
2024-08-08,1.5,1.5,1.45,1.45,212
2024-08-12,1.45,1.45,1.4,1.4,16500
2024-08-13,1.4,1.42,1.4,1.42,11000
2024-08-16,1.5,1.5,1.5,1.5,500
2024-08-19,1.4,1.4,1.4,1.4,1500
2024-08-22,1.4,1.4,1.4,1.4,100
2024-08-23,1.44,1.44,1.4,1.4,3200
2024-08-27,1.45,1.5,1.45,1.5,1338
2024-08-29,1.5,1.54,1.5,1.54,6470
2024-08-30,1.58,1.58,1.58,1.58,1014
2024-09-02,1.6,1.6,1.6,1.6,1770
2024-09-03,1.6,1.6,1.58,1.58,1800
2024-09-06,1.5,1.55,1.5,1.55,3532
2024-09-09,1.5,1.5,1.5,1.5,4005
2024-09-11,1.5,1.5,1.44,1.44,4800
2024-09-12,1.48,1.48,1.48,1.48,401
2024-09-17,1.44,1.44,1.44,1.44,499
2024-09-18,1.5,1.5,1.5,1.5,3100
2024-09-19,1.5,1.5,1.5,1.5,5000
2024-09-24,1.6,1.6,1.6,1.6,1500
2024-09-25,1.56,1.6,1.56,1.6,410
2024-09-26,1.54,1.54,1.54,1.54,2017
2024-09-27,1.54,1.54,1.5,1.5,3700
2024-09-30,1.5,1.5,1.5,1.5,6700
2024-10-01,1.44,1.44,1.44,1.44,1500
2024-10-08,1.5,1.5,1.5,1.5,700
2024-10-09,1.44,1.44,1.44,1.44,30
2024-10-11,1.5,1.5,1.5,1.5,700
2024-10-14,1.5,1.5,1.5,1.5,800
2024-10-15,1.5,1.54,1.5,1.54,3732
2024-10-17,1.5,1.5,1.5,1.5,500
2024-10-18,1.5,1.5,1.5,1.5,532
2024-10-21,1.5,1.5,1.5,1.5,750
2024-10-24,1.5,1.5,1.5,1.5,420
2024-10-28,1.5,1.5,1.5,1.5,111
2024-11-04,1.51,1.51,1.5,1.5,2233
2024-11-07,1.5,1.5,1.5,1.5,5100
2024-11-12,1.5,1.5,1.5,1.5,200
2024-11-13,1.46,1.48,1.44,1.44,4149
2024-11-14,1.5,1.5,1.5,1.5,3000
2024-11-18,1.5,1.5,1.5,1.5,300
2024-11-21,1.44,1.44,1.44,1.44,200
2024-11-22,1.44,1.44,1.44,1.44,200
2024-11-28,1.44,1.44,1.44,1.44,6365
2024-12-06,1.44,1.44,1.44,1.44,100
2024-12-09,1.44,1.44,1.44,1.44,6000
2024-12-12,1.44,1.44,1.44,1.44,276
2024-12-13,1.44,1.44,1.4,1.4,4000
2024-12-16,1.41,1.41,1.4,1.4,1000
2024-12-17,1.4,1.41,1.4,1.4,6575
2024-12-18,1.34,1.34,1.34,1.34,2400
2024-12-19,1.36,1.36,1.36,1.36,457
2024-12-23,1.36,1.36,1.34,1.34,10343
2024-12-27,1.35,1.4,1.35,1.4,787
2024-12-30,1.4,1.4,1.4,1.4,1000
2025-01-02,1.4,1.4,1.4,1.4,2
2025-01-03,1.4,1.4,1.35,1.35,1450
2025-01-07,1.35,1.35,1.35,1.35,1000
2025-01-08,1.35,1.35,1.35,1.35,2050
2025-01-09,1.35,1.35,1.34,1.34,2500
2025-01-20,1.34,1.55,1.34,1.55,12102
2025-01-21,1.55,1.6,1.5,1.5,3339
2025-01-22,1.5,1.5,1.5,1.5,3000
2025-01-23,1.41,1.42,1.4,1.41,3499
2025-01-24,1.41,1.41,1.4,1.4,3000
2025-01-28,1.4,1.4,1.4,1.4,11800
2025-01-29,1.4,1.4,1.4,1.4,1000
2025-01-31,1.41,1.41,1.41,1.41,500
2025-02-03,1.45,1.45,1.45,1.45,918
2025-02-07,1.44,1.44,1.4,1.4,42358
2025-02-12,1.41,1.41,1.41,1.41,203
2025-02-14,1.49,1.49,1.44,1.44,1146
2025-02-17,1.44,1.44,1.42,1.42,139
2025-02-20,1.42,1.42,1.42,1.42,1114
2025-02-21,1.42,1.42,1.42,1.42,2000
2025-02-24,1.42,1.42,1.4,1.4,500
2025-02-25,1.4,1.4,1.4,1.4,1500
2025-02-26,1.4,1.4,1.34,1.4,11500
2025-02-27,1.34,1.35,1.34,1.34,2000
2025-03-04,1.37,1.37,1.37,1.37,1272
2025-03-06,1.4,1.45,1.4,1.45,10500
2025-03-07,1.4,1.4,1.34,1.34,13228
2025-03-11,1.4,1.45,1.4,1.45,2606
2025-03-12,1.49,1.5,1.49,1.5,1330
2025-03-24,1.5,1.5,1.41,1.41,1662
2025-03-25,1.49,1.49,1.49,1.49,400
2025-03-26,1.41,1.41,1.34,1.4,8900
2025-03-27,1.4,1.4,1.4,1.4,2282
2025-03-28,1.36,1.36,1.36,1.36,500
2025-04-01,1.4,1.4,1.4,1.4,1432
2025-04-02,1.4,1.4,1.38,1.38,3085
2025-04-04,1.4,1.4,1.4,1.4,2148
2025-04-07,1.4,1.4,1.4,1.4,1000
2025-04-08,1.4,1.4,1.4,1.4,2148
2025-04-09,1.4,1.4,1.38,1.38,1240
2025-04-10,1.4,1.4,1.4,1.4,3000
2025-04-11,1.4,1.4,1.4,1.4,2000
2025-04-14,1.4,1.48,1.4,1.48,11258
2025-04-15,1.47,1.6,1.47,1.6,26206
2025-04-16,1.51,1.6,1.5,1.6,3241
2025-04-23,1.5,1.5,1.5,1.5,500
2025-04-24,1.5,1.54,1.5,1.54,3784
2025-04-25,1.5,1.6,1.5,1.6,5500
2025-04-28,1.52,1.52,1.5,1.5,1682
2025-05-02,1.45,1.55,1.45,1.55,800
2025-05-05,1.55,1.59,1.55,1.59,2446
2025-05-07,1.59,1.59,1.59,1.59,554
2025-05-09,1.59,1.6,1.59,1.59,1005
2025-05-12,1.59,1.6,1.59,1.6,1725
2025-05-16,1.5,1.6,1.5,1.6,163
2025-05-20,1.51,1.51,1.5,1.5,21355
2025-05-21,1.54,1.54,1.4,1.5,12990
2025-05-23,1.4,1.4,1.3,1.4,15962
2025-05-26,1.4,1.4,1.4,1.4,5260
2025-05-27,1.35,1.39,1.35,1.39,1690
2025-05-28,1.39,1.4,1.3,1.39,21780
2025-05-29,1.4,1.4,1.4,1.4,800
2025-06-02,1.34,1.39,1.3,1.38,8396
2025-06-04,1.32,1.32,1.29,1.3,25728
2025-06-05,1.38,1.4,1.38,1.4,5200
2025-06-09,1.4,1.4,1.4,1.4,150
2025-06-10,1.39,1.4,1.3,1.4,6238
2025-06-12,1.33,1.33,1.33,1.33,222
2025-06-13,1.41,1.43,1.33,1.43,3160
2025-06-27,1.33,1.4,1.33,1.4,1019
2025-06-30,1.33,1.33,1.33,1.33,7000
2025-07-02,1.35,1.45,1.35,1.45,7839
2025-07-03,1.45,1.45,1.45,1.45,209
2025-07-14,1.45,1.45,1.45,1.45,1950
2025-07-15,1.45,1.45,1.45,1.45,2000
2025-07-18,1.45,1.45,1.45,1.45,200
2025-07-21,1.45,1.45,1.45,1.45,1750
2025-07-22,1.45,1.45,1.45,1.45,51
2025-07-28,1.45,1.45,1.45,1.45,1000
2025-07-29,1.45,1.45,1.45,1.45,8
2025-07-30,1.37,1.37,1.37,1.37,8
2025-08-01,1.45,1.45,1.45,1.45,1500
2025-08-04,1.45,1.45,1.42,1.45,8360
2025-08-05,1.45,1.45,1.45,1.45,6500
2025-08-06,1.36,1.36,1.36,1.36,230
2025-08-08,1.45,1.45,1.45,1.45,100
2025-08-12,1.4,1.4,1.4,1.4,1000
2025-08-14,1.45,1.45,1.45,1.45,700
2025-08-18,1.4,1.44,1.4,1.44,1500
2025-08-19,1.4,1.42,1.32,1.42,14361
2025-08-20,1.43,1.43,1.43,1.43,1000
2025-08-21,1.44,1.44,1.44,1.44,100
2025-08-22,1.43,1.43,1.43,1.43,232
2025-08-25,1.4,1.4,1.4,1.4,1000
2025-08-26,1.4,1.4,1.4,1.4,1000
2025-08-27,1.4,1.4,1.4,1.4,2000
2025-08-28,1.42,1.43,1.42,1.43,1373
2025-08-29,1.36,1.43,1.35,1.43,3515
2025-09-03,1.43,1.43,1.43,1.43,100
2025-09-05,1.43,1.44,1.43,1.44,1300
2025-09-08,1.36,1.36,1.36,1.36,684
2025-09-09,1.36,1.36,1.36,1.36,777
2025-09-10,1.36,1.36,1.36,1.36,232
2025-09-11,1.43,1.43,1.43,1.43,10
2025-09-12,1.43,1.43,1.43,1.43,500
2025-09-15,1.43,1.43,1.43,1.43,1500
2025-09-16,1.43,1.43,1.43,1.43,1365
2025-09-17,1.44,1.44,1.39,1.39,260
2025-09-18,1.38,1.44,1.38,1.44,1037
2025-09-19,1.44,1.44,1.43,1.43,607
2025-09-25,1.43,1.43,1.43,1.43,70
2025-09-29,1.37,1.42,1.35,1.42,1050
2025-10-01,1.35,1.42,1.35,1.42,2504
2025-10-02,1.42,1.42,1.42,1.42,1000
2025-10-03,1.42,1.42,1.42,1.42,500
2025-10-07,1.35,1.43,1.35,1.43,1741
2025-10-09,1.43,1.43,1.43,1.43,180
2025-10-21,1.42,1.42,1.42,1.42,93
2025-10-23,1.44,1.44,1.44,1.44,10
2025-10-27,1.38,1.44,1.38,1.44,2705
2025-11-04,1.36,1.42,1.35,1.42,1600
2025-11-06,1.44,1.44,1.44,1.44,10
2025-11-12,1.43,1.43,1.43,1.43,1000
2025-11-13,1.43,1.43,1.43,1.43,300
2025-11-14,1.44,1.44,1.44,1.44,10
2025-11-17,1.4,1.44,1.4,1.44,61607
2025-11-18,1.37,1.44,1.35,1.44,21993
2025-11-19,1.31,1.44,1.31,1.44,7799
2025-11-20,1.41,1.42,1.4,1.4,1601
2025-11-21,1.4,1.4,1.4,1.4,6148
2025-11-27,1.4,1.4,1.4,1.4,73
2025-12-01,1.39,1.48,1.39,1.48,15755
2025-12-02,1.46,1.46,1.4,1.45,11321
2025-12-03,1.42,1.45,1.42,1.45,310
2025-12-04,1.46,1.47,1.42,1.47,172
2025-12-05,1.46,1.46,1.46,1.46,1818
2025-12-08,1.46,1.46,1.45,1.46,1801
2025-12-10,1.42,1.48,1.4,1.41,2622
2025-12-11,1.47,1.47,1.41,1.47,1290
2025-12-12,1.45,1.45,1.45,1.45,18194
2025-12-15,1.41,1.42,1.41,1.42,3140
2025-12-16,1.43,1.47,1.43,1.47,1780
2025-12-17,1.47,1.79,1.47,1.79,50538
2025-12-18,1.78,2.0,1.76,1.79,25893
2025-12-19,1.8,1.8,1.7,1.7,5008
2025-12-22,1.61,1.61,1.6,1.6,689
2025-12-23,1.61,1.61,1.6,1.6,3417
2025-12-29,1.52,1.59,1.4,1.58,26937
2025-12-30,1.51,1.51,1.51,1.51,1700
2026-01-02,1.51,1.6,1.5,1.6,16180
2026-01-05,1.7,1.86,1.66,1.86,7238
2026-01-07,1.6,1.8,1.6,1.75,21818
2026-01-08,1.75,1.8,1.58,1.6,26480
2026-01-09,1.65,1.65,1.6,1.63,788
2026-01-12,1.64,1.65,1.61,1.61,2747
2026-01-13,1.6,1.6,1.6,1.6,3320
2026-01-14,1.53,1.6,1.53,1.6,1553
2026-01-15,1.53,1.8,1.53,1.7,20225
2026-01-16,1.7,1.7,1.7,1.7,58
2026-01-19,1.7,1.7,1.63,1.7,1758
2026-01-20,1.7,1.8,1.63,1.8,6557
2026-01-21,1.8,1.9,1.8,1.9,16214
2026-01-22,1.89,1.98,1.54,1.7,68266
2026-01-23,1.7,1.8,1.6,1.6,23865
2026-01-26,1.67,1.7,1.6,1.7,5656
2026-01-27,1.6,1.65,1.6,1.61,4669
2026-01-28,1.61,1.61,1.58,1.58,13259
2026-01-29,1.6,1.6,1.6,1.6,6016
2026-01-30,1.65,1.7,1.65,1.7,48
2026-02-03,1.69,1.69,1.69,1.69,300
2026-02-04,1.63,1.63,1.6,1.6,5538
2026-02-05,1.6,1.6,1.6,1.6,1042
2026-02-06,1.56,1.56,1.5,1.5,3231
2026-02-09,1.52,1.52,1.52,1.52,222
2026-02-11,1.59,1.59,1.59,1.59,793
2026-02-12,1.53,1.53,1.53,1.53,12
2026-02-13,1.53,1.53,1.53,1.53,209
2026-02-16,1.53,1.53,1.44,1.5,18327
2026-02-17,1.5,1.5,1.5,1.5,1200
2026-02-18,1.5,1.54,1.5,1.51,4500
2026-02-19,1.51,1.6,1.51,1.6,2189
2026-02-20,1.56,1.56,1.51,1.51,1560
2026-02-25,1.59,1.59,1.59,1.59,3000
2026-02-27,1.59,1.6,1.53,1.59,1002
2026-03-02,1.59,1.59,1.59,1.59,30
2026-03-03,1.53,1.53,1.53,1.53,2000
2026-03-06,1.54,1.59,1.53,1.53,6096
2026-03-09,1.53,1.6,1.5,1.51,13508
2026-03-10,1.51,1.51,1.51,1.51,10
2026-03-11,1.51,1.51,1.51,1.51,2
2026-03-12,1.51,1.51,1.44,1.44,6847
2026-03-16,1.5,1.6,1.5,1.6,10800
2026-03-17,1.59,1.59,1.45,1.45,10006
2026-03-18,1.46,1.46,1.46,1.46,7897
2026-03-19,1.5,1.58,1.5,1.58,3603
2026-03-20,1.5,1.5,1.5,1.5,94
2026-03-24,1.57,1.57,1.57,1.57,409
2026-03-25,1.54,1.54,1.54,1.54,1899
2026-03-26,1.54,1.54,1.5,1.5,3106
2026-03-27,1.57,1.6,1.57,1.6,1700
2026-03-30,1.59,1.59,1.59,1.59,2000
2026-04-02,1.59,1.59,1.59,1.59,1000
2026-04-07,1.59,1.59,1.59,1.59,31
2026-04-08,1.58,1.58,1.5,1.5,10566
2026-04-13,1.58,1.6,1.58,1.6,1049
2026-04-14,1.5,1.59,1.5,1.59,3400
2026-04-15,1.59,1.7,1.59,1.6,19275
2026-04-16,1.6,1.74,1.6,1.74,13229
2026-04-17,1.7,1.87,1.7,1.78,17727
2026-04-20,1.8,1.8,1.75,1.75,5171
2026-04-21,1.75,1.75,1.75,1.75,74
2026-04-23,1.75,1.75,1.75,1.75,251
2026-04-27,1.75,1.75,1.7,1.7,4615
2026-04-29,1.7,1.7,1.7,1.7,2054
2026-04-30,1.7,1.7,1.7,1.7,1000
2026-05-04,1.7,1.7,1.7,1.7,2535
